,City1,City2,Distance in Km
0,Mumbai,Delhi,"1,421.30"
1,Mumbai,Bangalore,982.7
2,Mumbai,Hyderabad,709.1
3,Mumbai,Ahmedabad,530.9
4,Mumbai,Chennai,"1,335.80"
5,Mumbai,Kolkata,"2,028.50"
6,Mumbai,Surat,289.7
7,Mumbai,Pune,147.8
8,Mumbai,Jaipur,"1,152.60"
9,Mumbai,Lucknow,"1,378.40"
10,Mumbai,Kanpur,"1,291.00"
11,Mumbai,Nagpur,834.8
12,Mumbai,Indore,583.5
13,Mumbai,Thane,22.7
14,Mumbai,Bhopal,776.1
15,Mumbai,Visakhapatnam,"1,344.70"
16,Mumbai,Pimpri-Chinchwad,139.4
17,Mumbai,Patna,"1,753.00"
18,Mumbai,Vadodara,418
19,Mumbai,Ghaziabad,"1,426.20"
20,Mumbai,Ludhiana,"1,719.30"
21,Mumbai,Agra,"1,205.00"
22,Mumbai,Nashik,166.2
23,Mumbai,Ranchi,"1,706.80"
24,Mumbai,Faridabad,"1,417.30"
25,Mumbai,Meerut,"1,482.30"
26,Mumbai,Rajkot,712
27,Mumbai,Kalyan-Dombivli,42.5
28,Mumbai,Vasai-Virar,59.3
29,Delhi,Bangalore,"2,176.80"
30,Delhi,Hyderabad,"1,585.30"
31,Delhi,Ahmedabad,947
32,Delhi,Chennai,"2,210.00"
33,Delhi,Kolkata,"1,534.20"
34,Delhi,Surat,"1,153.90"
35,Delhi,Pune,"1,457.60"
36,Delhi,Jaipur,17.8
37,Delhi,Lucknow,553.8
38,Delhi,Kanpur,495.5
39,Delhi,Nagpur,"1,082.40"
40,Delhi,Indore,868.6
41,Delhi,Thane,1.7
42,Delhi,Bhopal,789.9
43,Delhi,Visakhapatnam,"1,830.80"
44,Delhi,Pimpri-Chinchwad,"1,444.70"
45,Delhi,Patna,"1,085.30"
46,Delhi,Vadodara,"1,006.10"
47,Delhi,Ghaziabad,41.6
48,Delhi,Ludhiana,312.4
49,Delhi,Agra,242.9
50,Delhi,Nashik,"1,284.00"
51,Delhi,Ranchi,"1,283.50"
52,Delhi,Faridabad,56.7
53,Delhi,Meerut,108.2
54,Delhi,Rajkot,"1,120.30"
55,Delhi,Kalyan-Dombivli,"1,408.10"
56,Delhi,Vasai-Virar,"1,374.10"
57,Bangalore,Hyderabad,569
58,Bangalore,Ahmedabad,"1,490.30"
59,Bangalore,Chennai,347.2
60,Bangalore,Kolkata,"1,887.00"
61,Bangalore,Surat,"1,249.20"
62,Bangalore,Pune,837.6
63,Bangalore,Jaipur,"1,914.80"
64,Bangalore,Lucknow,"1,931.40"
65,Bangalore,Kanpur,"1,815.80"
66,Bangalore,Nagpur,"1,092.00"
67,Bangalore,Indore,"1,339.10"
68,Bangalore,Thane,520.9
69,Bangalore,Bhopal,"1,442.70"
70,Bangalore,Visakhapatnam,"1,013.20"
71,Bangalore,Pimpri-Chinchwad,857.4
72,Bangalore,Patna,"2,094.00"
73,Bangalore,Vadodara,"1,377.50"
74,Bangalore,Ghaziabad,"2,155.30"
75,Bangalore,Ludhiana,"2,493.90"
76,Bangalore,Agra,"1,934.00"
77,Bangalore,Nashik,"1,053.90"
78,Bangalore,Ranchi,"1,962.30"
79,Bangalore,Faridabad,"2,104.30"
80,Bangalore,Meerut,"2,211.50"
