,City1,City2,Distance in Km
0,Mumbai,Delhi,"1,421.30"
1,Mumbai,Bangalore,982.7
2,Mumbai,Hyderabad,709.1
3,Mumbai,Ahmedabad,530.9
4,Mumbai,Chennai,"1,335.80"
5,Mumbai,Kolkata,"2,028.50"
6,Mumbai,Surat,289.7
7,Mumbai,Pune,147.8
8,Mumbai,Jaipur,"1,152.60"
9,Mumbai,Lucknow,"1,378.40"
10,Mumbai,Kanpur,"1,291.00"
11,Mumbai,Nagpur,834.8
12,Mumbai,Indore,583.5
13,Mumbai,Thane,22.7
14,Mumbai,Bhopal,776.1
15,Mumbai,Visakhapatnam,"1,346.70"
16,Mumbai,Pimpri-Chinchwad,139.4
17,Mumbai,Patna,"1,753.00"
18,Mumbai,Vadodara,418
19,Mumbai,Ghaziabad,"1,426.20"
20,Mumbai,Ludhiana,"1,719.30"
21,Mumbai,Agra,"1,205.00"
22,Mumbai,Nashik,166.2
23,Mumbai,Ranchi,"1,706.80"
24,Mumbai,Faridabad,"1,417.30"
25,Mumbai,Meerut,"1,482.30"
26,Mumbai,Rajkot,712
27,Mumbai,Kalyan-Dombivli,42.5
28,Mumbai,Vasai-Virar,59.3
29,Mumbai,Varanasi,"1,509.30"
30,Mumbai,Srinagar,"2,221.40"
31,Mumbai,Aurangabad,360.3
32,Mumbai,Dhanbad,"1,916.10"
33,Mumbai,Amritsar,"1,746.20"
34,Mumbai,Navi Mumbai,25
35,Mumbai,Allahabad,"1,389.10"
36,Mumbai,Howrah,"2,014.60"
37,Mumbai,Gwalior,"1,091.70"
38,Mumbai,Jabalpur,"1,101.70"
39,Mumbai,Coimbatore,"1,232.70"
40,Mumbai,Vijayawada,993.2
41,Mumbai,Jodhpur,974.3
42,Mumbai,Madurai,"1,424.40"
43,Mumbai,Raipur,"1,117.70"
44,Mumbai,Kota,903.2
45,Mumbai,Chandigarh,"1,655.60"
46,Mumbai,Guwahati,"2,736.80"
47,Mumbai,Solapur,400.6
48,Mumbai,Hubli - Dharwad,11
49,Delhi,Bangalore,"2,176.80"
50,Delhi,Hyderabad,"1,585.30"
51,Delhi,Ahmedabad,947
52,Delhi,Chennai,"2,210.00"
53,Delhi,Kolkata,"1,534.20"
54,Delhi,Surat,"1,154.90"
55,Delhi,Pune,"1,457.60"
56,Delhi,Jaipur,281.3
57,Delhi,Lucknow,553.8
58,Delhi,Kanpur,495.5
59,Delhi,Nagpur,"1,082.40"
60,Delhi,Indore,868.6
61,Delhi,Thane,"1,400.10"
62,Delhi,Bhopal,789.9
63,Delhi,Visakhapatnam,"1,830.80"
64,Delhi,Pimpri-Chinchwad,"1,444.70"
65,Delhi,Patna,"1,085.30"
66,Delhi,Vadodara,"1,007.10"
67,Delhi,Ghaziabad,41.6
68,Delhi,Ludhiana,310.5
69,Delhi,Agra,242.9
70,Delhi,Nashik,"1,284.00"
71,Delhi,Ranchi,"1,283.50"
72,Delhi,Faridabad,56.7
73,Delhi,Meerut,108.2
74,Delhi,Rajkot,"1,120.30"
75,Delhi,Kalyan-Dombivli,"1,419.30"
76,Delhi,Vasai-Virar,"1,374.10"
77,Delhi,Varanasi,863.2
78,Delhi,Srinagar,812.5
79,Delhi,Aurangabad,"1,276.30"
80,Delhi,Dhanbad,"1,269.90"
